N,P,K,temperature,humidity,pH,rainfall,state,crop
95.0,49.0,21.0,18.84035297,69.96912832,6.46017783,169.70137099,Arunachal Pradesh,pomegranate
69.0,57.0,23.0,24.17810862,66.82559052,6.63881496,177.97127867,Goa,dusterbeans
93.0,53.0,18.0,23.42685059,64.45149932,6.12880693,259.15136122,Himachal Pradesh,cabbage
96.0,44.0,45.0,19.33023372,63.60419894,6.14410502,272.19198743,Rajasthan,capsicum
90.0,38.0,40.0,24.77166017,72.48102736,7.09060091,186.06256086,Nagaland,mothbeans
98.0,36.0,33.0,25.32417628,80.78724782,5.842068,264.4905008,Tripura,methileaves
71.0,48.0,41.0,22.68506943,81.82246374,5.05697309,167.05526403,Goa,masurdal
100.0,45.0,24.0,18.70631438,57.25059911,7.82938937,163.89253092,Karnataka,lime
61.0,41.0,36.0,26.61649448,73.55295803,7.98928226,241.91305982,Mizoram,mango
94.0,50.0,34.0,26.32896241,61.47836446,7.59179599,230.01948837,Mizoram,mustardoil
100.0,39.0,24.0,23.68150201,83.18737367,5.07880017,72.37060969,Uttar Pradesh,littlegourd
73.0,40.0,16.0,18.44838901,67.41793155,5.03374494,298.29227744,Odisha,brinjal
89.0,53.0,32.0,25.77173491,56.67648474,5.44317351,78.17246832,Nagaland,blackgram
66.0,45.0,25.0,26.04377007,81.90579732,5.68448629,292.69431338,Andhra Pradesh,coconutoil
64.0,37.0,42.0,25.58852711,68.25734642,5.09726596,99.78665946,West Bengal,rice
95.0,59.0,28.0,21.58491645,83.06515773,7.50190759,223.15757558,Chhattisgarh,dusterbeans
86.0,47.0,29.0,23.22525839,80.77585243,5.65044204,272.97816091,Tamil Nadu,taramira
85.0,51.0,32.0,19.97057383,60.92463906,5.54362501,289.82908948,Tripura,greengram
61.0,50.0,29.0,21.49022653,64.64927515,6.82473125,241.64605424,Karnataka,suvarnagadde
78.0,57.0,18.0,19.07265883,63.11091935,5.6766078,140.35852952,Rajasthan,sweetpumpkin
66.0,42.0,41.0,22.60649375,59.45184399,7.6177586,94.90807712,Andhra Pradesh,varagu
78.0,36.0,23.0,19.08013382,80.80079055,6.6374838,90.07382057,Uttar Pradesh,wheat
93.0,38.0,33.0,18.83674489,84.92432887,6.5364184,132.5582259,Goa,colacasia
99.0,46.0,37.0,22.75511856,79.50549334,5.53583275,179.26840149,Andhra Pradesh,chanadal
70.0,52.0,37.0,24.90193781,74.09394165,5.09454403,61.53274072,Gujarat,sweetpumpkin
77.0,38.0,31.0,25.24571866,74.8022327,5.56052215,223.87832406,Gujarat,amaranthus
60.0,37.0,21.0,19.46481459,60.40318249,6.78870791,86.87538514,Sikkim,lime
73.0,48.0,29.0,26.98823479,68.61212,6.48112197,208.39685826,Arunachal Pradesh,ridgegourd
75.0,40.0,23.0,19.86762557,57.09266613,7.01179439,233.3842834,Gujarat,greengram
96.0,52.0,39.0,25.47908946,74.77208652,7.83799148,153.69943131,Arunachal Pradesh,cotton
83.0,49.0,41.0,26.86215851,67.52253934,5.52169484,187.08209652,Karnataka,fish
62.0,35.0,45.0,19.51969723,69.01790264,7.52914777,223.12863091,Madhya Pradesh,tamarindfruit
76.0,54.0,21.0,22.59535986,60.47645901,7.46240724,72.85171112,Sikkim,rubber
63.0,53.0,32.0,20.7676288,55.7724931,7.07311005,176.05642446,Sikkim,jute
86.0,49.0,41.0,23.79499351,64.30487717,5.38188259,102.95330515,Mizoram,capsicum
73.0,40.0,41.0,25.7037954,55.90865431,5.54319339,264.19332504,Rajasthan,tobacco
87.0,36.0,37.0,24.66038136,82.31006821,5.93136821,273.1228344,Tripura,tendercoconut
69.0,59.0,42.0,24.96453502,83.11953808,5.55913587,223.02576758,Himachal Pradesh,amaranthus
93.0,58.0,38.0,21.6228536,82.07896823,6.80569664,273.87430584,Bihar,spongegourd
66.0,40.0,16.0,21.87326997,55.16914094,7.39909401,74.4726611,Karnataka,knoolkhol
68.0,57.0,18.0,24.36416944,80.61750852,7.77546871,167.76765031,Andhra Pradesh,bottlegourd
67.0,54.0,38.0,18.79208643,55.55887752,6.40854511,73.35802845,Goa,pigeonpea
75.0,41.0,23.0,24.70779138,84.109912,6.76925279,135.11656161,Sikkim,muskmelon
75.0,47.0,39.0,26.98169499,69.8927091,6.72215455,282.75629139,Sikkim,parval
78.0,59.0,18.0,20.28046199,69.82583611,7.66481686,258.33038375,Jharkhand,greengram
67.0,50.0,19.0,21.93677757,76.97965284,7.03900324,153.11578663,Assam,tendercoconut
68.0,53.0,31.0,25.55402875,74.64491715,7.18339359,67.52352507,Tripura,pumpkin
77.0,57.0,23.0,19.59162096,60.0543951,7.65307741,185.19211068,Madhya Pradesh,rice
74.0,57.0,33.0,20.42305029,83.25442281,5.69838668,117.4573968,Chhattisgarh,castorseed
91.0,45.0,15.0,19.68580698,79.77025823,5.40951069,75.91566456,Sikkim,clusterbeans
84.0,49.0,19.0,23.12470176,63.12120208,5.81560771,180.96549651,Haryana,beans
76.0,47.0,38.0,24.81308481,75.01918636,6.24218702,152.81514881,Meghalaya,horsegram
98.0,38.0,27.0,26.15126521,57.85994468,5.17247048,187.6234876,Bihar,cabbage
77.0,43.0,44.0,25.10355597,70.23352742,6.84701982,293.52026807,Meghalaya,pineapple
97.0,55.0,41.0,20.47700127,61.46060572,6.33937057,74.37028707,Haryana,onion
91.0,49.0,17.0,24.55604326,63.99651849,6.47563191,198.58577824,Maharashtra,coconutoil
95.0,36.0,20.0,20.90559116,83.3144372,6.59996744,197.95269992,Haryana,peas
79.0,40.0,42.0,18.8228537,60.51467674,7.25819491,124.72600497,Jharkhand,potato
67.0,39.0,27.0,24.52117031,72.80770535,5.92514733,229.53045071,Kerala,roundgourd
77.0,38.0,39.0,25.21811711,84.57198797,6.24409703,265.43949958,Uttarakhand,redgram
97.0,43.0,21.0,23.85832632,70.91133995,6.43569506,127.39775865,Gujarat,methileaves
79.0,38.0,31.0,18.49946994,78.71790425,7.87381778,256.26570765,Odisha,chickpea
79.0,38.0,40.0,25.9267973,56.49911481,7.68467903,65.51828825,Uttarakhand,banana
70.0,56.0,43.0,22.78054089,73.43251804,5.65195477,268.69765949,Andhra Pradesh,guava
88.0,44.0,23.0,24.86016407,75.86537304,7.14027094,67.80772929,Nagaland,kinnow
80.0,45.0,36.0,18.7503417,60.80473012,5.79567835,208.33764218,Tamil Nadu,roundgourd
88.0,51.0,25.0,18.21729468,71.13998146,5.47839584,214.24256436,Mizoram,suvarnagadde
61.0,46.0,23.0,25.572358,67.20924393,6.97986627,219.28494252,Tamil Nadu,sapota
85.0,40.0,23.0,19.28759331,55.13275669,7.05143211,201.30279477,Uttarakhand,longmelon
69.0,52.0,18.0,23.24878938,58.72901378,6.59660847,288.17412955,Nagaland,suratbeans
77.0,49.0,41.0,25.17386192,63.53912841,5.71064684,78.42336669,Arunachal Pradesh,cowpea
77.0,48.0,17.0,22.65848024,59.72819576,6.09720234,241.77073166,Meghalaya,pumpkin
79.0,43.0,25.0,19.3871141,67.63463765,5.53119798,93.98213905,Uttar Pradesh,suratbeans
69.0,40.0,36.0,19.88454172,73.84066334,5.67804567,290.29005543,Manipur,sweetlime
86.0,37.0,18.0,23.0968352,56.48936807,5.54992501,101.38645378,Chhattisgarh,lentil
85.0,45.0,39.0,21.27821568,64.64288926,5.29439664,138.05646952,Madhya Pradesh,cashewnuts
69.0,41.0,33.0,25.10220868,78.260184,6.07284401,71.59739745,Himachal Pradesh,plum
70.0,44.0,34.0,22.42832013,84.01080185,7.71883694,294.17260152,Tamil Nadu,suvarnagadde
97.0,53.0,25.0,22.07560043,78.91871847,5.55094724,81.77910719,Sikkim,coffee
67.0,37.0,37.0,18.26609099,71.28681468,7.30561162,162.69751271,Tamil Nadu,frenchbeans
85.0,43.0,28.0,22.44679745,58.76766022,5.55698757,280.89168132,Gujarat,seemebadnekai
79.0,42.0,37.0,25.41394393,83.55935102,6.17058305,230.15050296,Mizoram,mustard
88.0,36.0,38.0,19.5273591,57.96325822,5.97367863,265.39840942,Tripura,mustardoil
93.0,36.0,16.0,22.54864416,67.46508597,6.39591743,150.11601349,West Bengal,spongegourd
65.0,40.0,20.0,18.63408356,56.85434257,6.46377286,90.98106773,Gujarat,tendercoconut
71.0,42.0,15.0,24.6739809,78.41906604,7.45472797,137.67923933,Bihar,sugar
64.0,50.0,21.0,19.29389057,77.70243702,5.93453331,227.78332087,Gujarat,jowar
76.0,49.0,31.0,22.26021424,66.18648338,5.29539019,214.31803921,Chhattisgarh,redgram
77.0,49.0,40.0,18.23301609,80.46097548,5.11664789,95.23336418,West Bengal,mushrooms
62.0,51.0,33.0,22.52267712,82.37094917,6.08885,63.63875385,Arunachal Pradesh,coconut
94.0,57.0,21.0,19.27147612,78.98547497,6.90416054,91.8748077,Sikkim,taramira
78.0,38.0,22.0,26.98013727,55.19552503,5.6634438,95.34964412,Karnataka,paddy
69.0,35.0,34.0,24.91791285,70.27653768,6.05813025,225.18257334,Sikkim,greenpeas
81.0,52.0,34.0,23.32191442,63.32611166,6.75699682,285.02401264,Gujarat,moongdal
68.0,42.0,38.0,21.33786875,56.87813338,7.07930093,211.05278138,Uttarakhand,linseed
64.0,36.0,41.0,24.43898128,83.77887697,6.17568103,172.38169306,Goa,ragi
79.0,35.0,29.0,26.10987485,59.06432419,5.88298679,150.32255694,Haryana,greengram
90.0,53.0,20.0,24.48214708,75.393063,7.16202667,79.36357639,Maharashtra,frenchbeans
62.0,49.0,25.0,22.32204205,65.52189934,6.51225138,183.43066993,Uttar Pradesh,gingellyoil
81.0,57.0,22.0,24.72275925,56.10214715,5.05045205,273.77734995,Arunachal Pradesh,greenpeas
68.0,56.0,22.0,19.08055668,55.65188234,6.78824124,156.73712178,Goa,linseed
95.0,46.0,24.0,25.49295315,55.40196101,5.866137,106.1276442,Andhra Pradesh,wheatatta
73.0,48.0,22.0,22.3566626,72.51770925,6.3743106,148.94145862,Manipur,taramira
91.0,55.0,18.0,25.04294891,59.01021044,5.40598872,123.09882578,Arunachal Pradesh,lentil
65.0,54.0,31.0,25.15319082,69.17572156,7.29597026,257.44686089,Manipur,blackpepper
79.0,39.0,27.0,25.10102115,76.90047864,6.6000168,270.90155513,Maharashtra,wheat
73.0,51.0,23.0,24.64618471,67.00486018,6.77565207,134.26585283,Punjab,jaggery
64.0,59.0,34.0,19.6868294,78.71903047,6.1737224,65.86917898,Odisha,ashgourd
69.0,50.0,26.0,24.98499962,68.15506435,7.20062774,103.92943379,Goa,bajra
84.0,42.0,42.0,18.76886019,59.95422141,6.80229712,183.16255446,Haryana,banana
93.0,50.0,27.0,18.2688848,71.89322996,5.62961932,61.46914698,Karnataka,coconut
73.0,52.0,22.0,23.84304601,84.13571096,5.80378527,135.2780139,Uttarakhand,ragi
68.0,55.0,17.0,21.54920967,59.56876484,7.76634099,151.28602675,Manipur,lentil
86.0,47.0,43.0,26.41558847,73.32761828,7.19677728,122.62887887,Rajasthan,sesamum
79.0,49.0,17.0,25.35060402,59.7808909,7.82403093,126.82741328,Haryana,guar
71.0,53.0,42.0,25.33693419,57.99527247,5.98845886,245.98019856,West Bengal,jute
73.0,43.0,23.0,26.91073996,57.77499588,5.41869363,165.9449756,Andhra Pradesh,suratbeans
83.0,54.0,35.0,21.60981068,58.0918105,5.01044999,268.11806813,Uttarakhand,capsicum
81.0,57.0,43.0,21.51460903,82.51117044,7.89119844,67.18188027,West Bengal,peascod
64.0,41.0,29.0,23.08400395,84.83784468,5.27419197,287.06510956,Rajasthan,fish
87.0,38.0,34.0,24.0106287,69.82342513,5.87149955,86.44290927,West Bengal,suvarnagadde
78.0,52.0,16.0,25.42720129,75.71638485,5.74525278,154.27624914,Karnataka,coriander
73.0,60.0,21.0,19.70709895,75.50149166,5.3762992,241.52272256,Odisha,cucumber
75.0,56.0,22.0,25.33223197,56.33778478,5.87616708,164.0961658,Andhra Pradesh,fieldpea
73.0,49.0,27.0,18.96065315,64.01559185,7.92531946,261.84257706,Tripura,pumpkin
63.0,37.0,16.0,26.8346068,82.68502586,5.23924176,115.38796852,Punjab,maidaatta
63.0,54.0,21.0,24.59550159,74.48783293,5.56634658,122.7624985,Himachal Pradesh,sapota
69.0,53.0,22.0,21.62493937,60.7530992,5.57476602,194.47536766,West Bengal,dusterbeans
71.0,42.0,43.0,19.59948527,78.55550606,7.96307869,80.76596279,Mizoram,copra
60.0,38.0,44.0,24.63132739,56.93770526,6.82304288,155.39291887,Sikkim,copra
77.0,51.0,21.0,19.82641111,65.07489682,7.67755097,150.42266179,Kerala,guava
93.0,53.0,35.0,25.6576847,69.31560058,7.34828726,263.25970847,Manipur,carrot
64.0,38.0,37.0,22.52877168,63.97960536,5.59432903,123.29820661,West Bengal,pumpkin
61.0,53.0,32.0,19.25963148,70.0256007,6.37029929,169.2856757,Nagaland,groundnutseed
73.0,45.0,29.0,23.3905149,83.7850244,6.27579262,180.82304868,Odisha,frenchbeans
60.0,57.0,24.0,21.14304122,70.9921472,5.88336464,200.86963106,Bihar,moathdal
75.0,50.0,31.0,21.44735658,83.78138314,7.11325649,218.2107161,Meghalaya,coconutoil
