N,P,K,temperature,humidity,pH,rainfall,crop,yield
95.0,58.0,22.0,26.75234164,80.15410122,6.09238684,264.20518024,cowpea,10740.54
80.0,58.0,23.0,25.41631857,81.40292613,5.31222929,269.42480143,soyabean,11373.29
97.0,44.0,36.0,21.06210538,62.73923388,7.6085638,235.00072102,onion,18187.5
85.0,38.0,29.0,23.04207639,67.93435152,5.10332228,252.43018342,tomato,32026.84
67.0,43.0,28.0,19.72809564,78.87043281,6.77810857,205.61432533,brinjal,22458.21
98.0,36.0,40.0,24.05957202,60.54840813,5.45902905,270.74027563,elephantyam,24514.86
95.0,51.0,38.0,24.60997498,73.65953845,5.13964423,72.51118461,peas,22163.18
100.0,53.0,26.0,20.52160675,64.76508703,7.25482689,247.52704631,pineapple,16374.53
69.0,55.0,37.0,20.58840347,60.05790375,6.05579252,191.4705301,mustard,16918.09
66.0,39.0,39.0,20.92001978,61.81452521,5.65604062,163.32114921,apple,20386.09
79.0,37.0,33.0,26.38829809,65.49736967,7.22955847,296.60041523,leafyvegetable,17778.87
91.0,38.0,18.0,25.60354555,84.80183347,6.14645662,228.95452204,nigerseed,20435.99
68.0,41.0,25.0,23.4510794,58.40130002,7.01735406,266.88102927,moongdal,14455.39
92.0,56.0,17.0,25.64764993,62.09119826,6.26621568,161.31454597,barley,23814.17
91.0,55.0,16.0,18.19258228,70.98487706,5.16671101,91.07815737,coffee,1837.84
93.0,43.0,43.0,18.85383537,61.78258273,6.87318325,199.88241714,coconutseed,10543.89
96.0,55.0,21.0,19.18736961,74.79782793,7.31242109,106.47447286,karamani,14791.73
90.0,53.0,15.0,26.11863059,68.00539732,5.70147781,176.09007127,capsicum,14196.24
83.0,35.0,41.0,21.47570523,64.61021514,6.69297531,60.83842354,sesamum,12988.91
93.0,48.0,37.0,24.29481354,55.51901394,6.69207596,198.57884851,cowpea,15015.34
64.0,43.0,18.0,24.52979142,67.98224368,6.58729511,92.60865648,sapota,23918.97
78.0,40.0,36.0,18.12415004,60.30990453,6.11132714,230.87059488,grapes,21950.12
71.0,44.0,28.0,19.78508219,83.83988343,6.54396849,144.55674959,chillycapsicum,13079.35
62.0,38.0,31.0,19.35343216,68.05824886,5.01012554,280.34637219,tinda,11585.1
64.0,44.0,18.0,24.3696995,62.92863073,5.88262436,122.87536982,muskmelon,17643.02
60.0,48.0,20.0,19.00589155,58.93780338,6.81474691,190.29165323,cauliflower,11730.4
88.0,51.0,26.0,18.00502063,80.24546684,5.51631675,204.35008487,spongegourd,21467.2
94.0,60.0,39.0,24.00015363,77.67225774,6.44519136,218.51299466,gingellyoil,12927.61
62.0,39.0,19.0,26.1583303,61.89310419,6.03381613,272.55284728,brinjal,12098.68
74.0,46.0,44.0,20.31528305,66.2381276,6.2691787,180.26058586,turdal,16924.37
81.0,45.0,44.0,21.12227869,75.21439861,7.04839378,90.3105842,raddish,20911.3
62.0,55.0,15.0,24.21818697,63.0983237,7.97432978,149.77393191,ridgegourd,24393.67
62.0,39.0,34.0,20.76276978,74.79245183,5.3682626,260.84214555,linseed,20129.75
99.0,45.0,30.0,22.6305712,62.64792475,6.35220508,241.97027808,colacasia,10062.02
92.0,51.0,32.0,23.61849178,80.45110233,7.12217417,166.89608829,greenpeas,18796.72
92.0,42.0,41.0,23.40273198,84.6372882,5.07812758,109.43289555,grapes,20050.03
67.0,49.0,29.0,25.89517156,73.06945839,7.23392325,245.88123301,wood,15533.76
96.0,54.0,26.0,23.52193089,60.87133359,6.66100653,105.43127552,papaya,23857.46
92.0,50.0,22.0,25.42829573,59.67929478,7.92262181,288.4989472,bajra,16793.49
61.0,57.0,43.0,25.53085206,65.14759523,5.42136186,265.42579756,karamani,20465.52
73.0,37.0,39.0,20.19088899,59.47366038,6.44406692,285.98738077,brinjal,23571.05
95.0,37.0,33.0,23.20888739,74.48657525,7.50289737,232.28318348,pigeonpeas,10014.82
87.0,36.0,17.0,24.35852422,61.28798766,7.0645768,251.32859528,kidneybeans,22449.98
68.0,56.0,15.0,21.12719398,71.46862402,5.58050861,136.56519381,seam,11134.86
72.0,59.0,21.0,26.09283176,58.70332672,7.74180856,278.32478932,zizyphus,21185.47
66.0,52.0,44.0,24.34954677,81.2616659,5.83803266,166.53110775,pumpkin,10703.12
91.0,55.0,33.0,26.41941528,60.57813975,7.49213635,137.23133327,snakeguard,17136.48
94.0,57.0,40.0,18.83241921,66.04793066,6.67016408,242.67046286,varagu,24998.79
86.0,47.0,30.0,24.82010484,61.46440078,5.53920808,164.18759928,ghee,16211.83
88.0,50.0,35.0,24.16437878,81.15547506,6.97202044,106.88563361,lentil,19533.43
95.0,50.0,21.0,25.55949604,63.33908866,6.26955989,178.78272875,coffee,1907.07
79.0,46.0,16.0,23.66843379,56.84543302,6.0759217,148.46615408,zizyphus,24478.03
85.0,43.0,32.0,18.87106914,72.4378411,6.08787053,279.83670218,blackgram,15624.71
65.0,43.0,17.0,23.00843117,76.21315069,5.27549533,292.42309892,frenchbeans,10113.14
64.0,37.0,32.0,21.34478883,69.38549516,6.83128919,233.18113302,frenchbeans,12470.56
80.0,39.0,39.0,20.27693677,71.08739418,6.1042874,68.22138911,watermelon,10750.53
67.0,45.0,16.0,25.5636206,66.85738723,6.83247298,194.02866158,peas,18664.77
78.0,35.0,32.0,24.0240445,71.31731609,5.80927357,102.67723097,karamani,20924.53
91.0,54.0,35.0,22.96343407,58.95729622,5.79627486,239.11782022,greenavare,21965.81
67.0,59.0,31.0,22.38660083,81.98502272,6.70136631,92.13036362,greenpeas,12987.36
61.0,51.0,22.0,18.06247547,69.12392529,6.74152865,298.73504329,squash,17148.46
70.0,54.0,43.0,20.8221123,77.4195757,6.82492274,254.28644635,parval,11113.0
75.0,55.0,19.0,23.73256568,64.09084217,5.36399314,252.59320715,amla,13868.8
65.0,49.0,36.0,24.17808785,81.98242054,7.89639496,125.55839325,coffee,1049.89
62.0,39.0,24.0,23.49811573,82.14611055,6.61490717,163.45424283,ladiesfinger,17967.72
87.0,58.0,36.0,21.45992619,55.26587998,6.58576914,287.97178683,sugar,99744.75
60.0,57.0,17.0,26.15098325,63.66363067,7.56623246,244.53754375,chholia,16913.35
74.0,56.0,37.0,19.81802939,66.25729695,5.8782424,116.38392815,greenavare,11440.33
68.0,40.0,23.0,18.27818614,58.71794474,6.28525175,164.29247402,coconutseed,19942.53
71.0,51.0,30.0,24.64973001,67.78038865,5.44189864,83.64744018,drychillies,18406.36
94.0,36.0,42.0,20.14920976,66.81791892,7.19790301,90.76651091,brokenrice,2552.42
71.0,52.0,21.0,24.4655522,58.3297965,6.41822129,111.52136563,amaranthus,21911.83
64.0,60.0,23.0,24.61423373,84.62826541,5.99969489,61.77638713,blackpepper,1416.63
98.0,57.0,18.0,20.8430555,71.54609232,7.80961571,299.72292126,sweetpotato,20675.34
83.0,53.0,34.0,21.82247966,56.71971776,7.01941173,65.16268212,maidaatta,18029.52
83.0,49.0,42.0,21.30324682,72.84238039,7.9021852,148.84907381,wheatatta,4458.74
83.0,43.0,21.0,23.78454212,60.91863697,5.85845537,84.35182655,cashewnuts,16371.84
65.0,50.0,41.0,25.99493772,76.72363031,5.84492339,105.02291784,groundnut,17401.87
76.0,36.0,37.0,24.97782912,56.91458052,7.15987657,74.46501332,raddish,19999.16
67.0,57.0,26.0,20.95520645,60.153522,6.23709714,123.50055923,papaya,21112.02
77.0,45.0,24.0,18.44305456,80.25787447,7.44762478,192.32766299,bengalgram,23457.28
98.0,60.0,18.0,19.33747933,83.16876953,5.25494958,148.15610503,gingellyoil,19014.5
81.0,39.0,24.0,26.0080934,71.08735961,6.58876738,116.43786172,sugar,58060.77
93.0,55.0,39.0,23.52711185,70.16903038,7.12113714,236.9295688,greenavare,11765.47
78.0,48.0,16.0,19.15139112,57.38144655,7.9094745,182.56260924,tomato,23800.52
76.0,57.0,41.0,19.5433389,73.16012164,7.04441846,171.52979276,sweetlime,12253.6
66.0,41.0,32.0,25.59972011,70.76558902,6.59050848,278.99646955,mango,22977.59
82.0,45.0,34.0,20.26632451,56.92174324,6.49665014,273.1331907,amorphophallus,17996.43
95.0,41.0,27.0,22.55788676,68.42086012,7.71912323,268.73891397,groundnut,13157.59
68.0,41.0,28.0,26.43648882,69.20907923,6.74112683,186.49760165,greenavare,11907.51
86.0,60.0,22.0,22.4140991,65.22585858,5.04056052,111.87973694,jute,21904.67
100.0,37.0,16.0,23.40108125,63.13973276,5.29744222,82.70148045,coconutseed,24337.19
60.0,47.0,29.0,20.18445291,68.84052752,6.24293032,120.20530219,whitepumpkin,18010.11
98.0,56.0,29.0,23.20456626,74.14193961,6.55780672,157.795078,ginger,1454.27
62.0,39.0,17.0,25.40000269,71.08206141,5.73069445,279.06871132,groundnut,19649.0
83.0,50.0,25.0,20.17992244,57.67599696,7.60723889,103.06779703,groundnut,20143.36
88.0,55.0,36.0,22.68688862,73.70899878,6.93934055,201.66365783,gingellyoil,12536.43
86.0,53.0,21.0,25.98346913,78.92567498,6.57934587,251.51809066,thinai,23639.83
98.0,35.0,19.0,24.69986735,75.33890048,6.58341679,241.11682714,mint,15110.99
67.0,36.0,23.0,19.78865004,71.71791835,5.11168316,202.82424014,barley,10150.03
73.0,59.0,34.0,18.12590626,65.0175152,5.66638165,161.13404503,sweetpumpkin,21122.76
94.0,53.0,17.0,23.71444632,57.1708861,7.95030021,223.4359811,fieldpea,23563.3
77.0,46.0,26.0,24.86361858,55.20797287,7.31214318,225.10317112,cumbu,12426.99
82.0,42.0,28.0,18.30840558,63.79628551,7.48979887,161.44842527,coconutseed,16623.1
85.0,38.0,22.0,18.41511981,65.43344289,5.02951092,131.04154482,papaya,23789.56
76.0,42.0,28.0,25.81556248,62.34911953,7.16590938,137.09064275,mustard,14792.73
81.0,57.0,18.0,24.28140393,65.84980307,6.6833973,152.58477823,dusterbeans,17659.98
89.0,39.0,36.0,20.47064862,65.07388523,5.05411248,241.97809847,mungbean,16762.08
95.0,50.0,41.0,19.47985488,71.11564853,6.09985935,188.07459216,masurdal,22625.04
86.0,57.0,38.0,19.10370925,74.02478155,7.92537427,70.02000055,wheat,2970.67
98.0,54.0,22.0,19.12508183,72.44729736,7.66283935,274.10549964,pumpkin,13316.53
67.0,51.0,17.0,25.66545103,84.64192232,7.10466549,191.67215085,pear,14660.03
88.0,40.0,21.0,20.7756426,80.7068606,7.55033848,81.18585926,cabbage,11447.3
65.0,52.0,32.0,25.35637174,76.78228297,6.3327868,243.34204374,dusterbeans,10347.64
88.0,51.0,32.0,24.73698252,64.26915799,5.69234354,217.56499207,turmeric,2291.74
83.0,57.0,29.0,24.65983874,84.69489335,6.13504946,156.64825946,pigeonpeas,19739.03
78.0,56.0,34.0,26.6709254,67.25312803,5.22199583,71.67937372,tomato,22063.28
79.0,57.0,39.0,22.78129061,61.920876,6.95860258,178.69445057,amla,15647.18
84.0,53.0,44.0,23.25966801,82.80312459,6.14123313,110.30654832,varagu,13322.56
81.0,46.0,17.0,22.82563959,71.08910298,6.07858851,148.36810529,gingellyoil,22540.64
74.0,56.0,34.0,19.18190596,70.20984914,6.19296528,112.27325147,ghee,12887.5
61.0,56.0,36.0,24.77279927,64.84808876,6.6293283,174.48487392,mustard,14894.17
76.0,35.0,43.0,25.94151694,65.19180407,7.36431911,81.17991593,urddal,14132.71
92.0,55.0,18.0,22.21859534,74.5562475,7.04720338,298.79871025,sapota,20588.77
72.0,42.0,24.0,20.36112873,64.77113586,6.94020492,266.65420523,cauliflower,24778.57
70.0,58.0,23.0,24.43688612,59.56577571,6.67045608,175.99724218,elephatyam,21429.8
63.0,54.0,19.0,18.33231555,78.86496165,6.02701577,217.71760905,colacasia,22543.81
95.0,56.0,27.0,24.49228595,61.7459558,6.99357445,70.54223491,sweetpumpkin,12310.13
62.0,50.0,43.0,20.74298312,67.15380457,6.25287899,231.17578575,blackgram,13599.53
86.0,47.0,26.0,21.5786966,66.13744969,5.6758306,244.30104214,raddish,17551.82
87.0,59.0,35.0,24.90878842,61.56924549,7.10142081,200.09810844,tomato,22484.02
99.0,54.0,42.0,21.21561238,74.83471201,5.99002734,76.25214662,apple,27159.51
83.0,47.0,39.0,23.07589844,61.41573176,6.84910478,69.55606709,soyabean,22799.92
65.0,47.0,30.0,19.3097587,79.92155118,7.98292789,201.64915108,jowar,13263.58
77.0,39.0,42.0,23.48915423,61.87402815,5.08385813,279.16550045,kidneybeans,14107.55
94.0,46.0,24.0,24.38647742,79.26502832,5.31085837,136.0528731,taramira,12898.58
89.0,43.0,31.0,25.71512544,57.31051423,5.21881449,167.68914072,knoolkhol,11678.01
61.0,51.0,29.0,19.98960284,72.12843036,6.94506216,161.23503032,mushrooms,15564.71
61.0,54.0,40.0,23.59364012,78.02236594,7.90063668,76.70566998,thinai,19179.94
65.0,49.0,24.0,25.70787845,77.56326015,7.70096826,164.08107964,corrianderseed,24798.61
88.0,44.0,20.0,25.62458388,75.73815163,5.17352877,79.05527984,groundnutseed,21558.06
96.0,58.0,35.0,21.71210552,79.03333056,5.98779254,150.35879462,coconut,11492.99
64.0,49.0,18.0,25.72943449,78.38539815,5.58972646,201.23015112,sweetpotato,18033.34
98.0,45.0,45.0,19.6777364,62.39476979,6.47002395,186.36663291,turmeric,1394.83
83.0,45.0,25.0,25.11752428,71.55303859,6.48869231,234.69923613,sapota,22325.18
99.0,57.0,33.0,23.21901782,70.68445155,5.77917653,284.97151071,pineapple,12116.8
100.0,59.0,39.0,24.03107793,56.5191789,7.08762184,234.97649984,cauliflower,18935.03
72.0,37.0,17.0,23.1654452,67.37112764,6.03545321,77.86503399,peppergarbled,10097.91
78.0,55.0,17.0,20.94068807,55.65960201,7.04655724,175.28497656,fish,13584.95
85.0,60.0,35.0,20.79296894,84.50189679,7.46710541,69.50068513,sweetpotato,23925.51
82.0,41.0,37.0,18.39149577,81.7819571,5.9803087,204.97593696,groundnut,18155.66
91.0,49.0,26.0,20.51486422,56.80974917,5.76719931,206.69634373,drychillies,19487.1
94.0,53.0,43.0,20.7248993,82.99059674,7.13595781,184.12033043,clusterbeans,16655.25
90.0,51.0,22.0,18.44934763,71.3747157,6.4686216,263.77504865,mothbeans,22068.32
98.0,49.0,42.0,25.93087222,55.58201241,5.27174187,260.21996669,rubber,24977.17
84.0,43.0,19.0,22.1088515,82.05951294,6.09633478,129.74632019,redgram,19819.05
95.0,56.0,42.0,21.15803596,83.2326276,5.87288512,278.59309838,mungbean,20554.04
96.0,42.0,24.0,23.60572295,67.2923947,7.84890295,78.37939995,rubber,21668.07
71.0,53.0,23.0,20.72587096,59.11912284,6.17888664,83.78758724,masurdal,14208.43
83.0,41.0,41.0,23.17918245,83.44758663,5.34020877,175.60183884,groundnutseed,14975.56
69.0,48.0,35.0,21.23663854,69.29988036,7.52946912,148.08120015,greengram,12840.93
79.0,44.0,24.0,20.44418491,84.20771343,5.94045237,96.92316262,zizyphus,22736.93
70.0,44.0,29.0,20.0738099,81.25175778,7.38677666,187.24966662,cumbu,24099.11
70.0,45.0,41.0,23.52087161,57.7568266,7.63394818,172.31228668,pigeonpea,16465.87
69.0,43.0,15.0,19.77511762,60.91188748,5.67474135,144.20271669,pineapple,16652.29
73.0,38.0,25.0,20.18985624,58.28648185,6.48054785,148.72067317,cotton,1881.19
77.0,54.0,33.0,23.26357811,59.14896188,5.50903597,283.2359113,drumstick,21193.37
61.0,56.0,16.0,21.31925762,67.71347605,7.02355287,70.42456584,lime,17974.65
82.0,57.0,33.0,18.43000466,72.45028203,7.2845064,80.02395616,wheat,3693.26
95.0,58.0,26.0,18.38508366,84.38441136,6.67846308,196.73364467,turdal,22365.76
96.0,36.0,15.0,20.39246008,71.20514339,7.2411002,257.29599003,raddish,11434.63
93.0,36.0,23.0,21.03801057,73.61439247,6.62939548,268.13312433,sweetpotato,17202.11
68.0,35.0,42.0,22.98253389,81.00795292,5.87315591,202.13906958,tamarindfruit,15187.72
78.0,38.0,20.0,22.05951533,75.14195645,6.55363538,186.62843755,amorphophallus,19859.04
87.0,60.0,16.0,26.57486126,64.03753641,5.74765227,265.65851031,redgram,24036.08
72.0,49.0,45.0,19.48817464,78.1408235,6.96680685,179.15587478,bottlegourd,23965.66
96.0,48.0,18.0,20.80233775,66.45759101,5.31369086,252.48008409,papaya,13203.0
63.0,38.0,15.0,20.0065432,62.91039715,5.51649575,246.22502385,wood,16903.61
63.0,50.0,18.0,20.56036847,82.63889348,6.73295516,220.85068406,sweetpotato,24371.83
89.0,45.0,35.0,21.92177062,76.00658813,7.82217537,256.44412778,squash,13245.73
84.0,36.0,40.0,25.61255512,70.61257847,6.86633391,102.25164508,colacasia,14834.37
78.0,50.0,40.0,18.94309089,71.94963845,5.7531756,83.32263261,taramira,21469.98
98.0,43.0,26.0,19.06666906,72.59368969,5.8648087,218.16145423,pear,10477.15
88.0,39.0,21.0,21.3930663,74.46999036,6.61824707,297.7081221,tomato,29585.91
75.0,59.0,35.0,19.50799169,61.59996057,7.62019449,170.7527471,brinjal,16779.86
94.0,51.0,20.0,25.05238152,61.19958183,7.08978887,131.67590105,squash,13471.3
69.0,43.0,17.0,19.82632721,65.66492467,5.42089813,170.53789594,plum,18377.35
82.0,38.0,22.0,26.31308032,66.31256259,7.29862465,87.875889,redgram,14611.57
92.0,48.0,18.0,19.67441578,67.92201394,7.49526443,196.50091958,colacasia,18558.85
85.0,51.0,41.0,19.94297999,61.43334622,7.91187691,115.34604691,coriander,19473.89
79.0,47.0,38.0,20.64318809,60.82310735,7.42601008,223.52058735,cashewnuts,15186.05
86.0,56.0,22.0,21.30518135,77.55686342,6.53432145,183.98734466,pumpkin,12205.97
63.0,35.0,44.0,20.60758895,64.47662823,5.35174499,210.06249624,wood,11775.34
88.0,45.0,25.0,21.77223058,68.02065677,5.90146654,204.97400231,elephatyam,20016.11
81.0,50.0,22.0,23.90627873,59.46262808,5.32716206,117.55741035,coconut,22379.2
82.0,46.0,38.0,26.92683539,73.34658508,5.77548558,85.40826036,raddish,20790.27
65.0,42.0,33.0,24.45716161,69.61322748,7.84398675,238.06577166,maidaatta,21955.53
98.0,54.0,39.0,21.80679435,56.78408616,6.28937234,273.52264245,turmeric,2345.22
90.0,42.0,37.0,18.25132645,66.61645343,5.67775949,79.04824225,mustardoil,18392.28
72.0,39.0,34.0,18.9886524,71.78830436,7.07819352,121.05169446,mothbeans,11589.03
74.0,45.0,22.0,23.50414671,68.44352859,5.34246156,215.05708847,apple,19269.2
70.0,53.0,35.0,23.93911118,61.35205824,6.34715012,113.91677297,elephatyam,24541.54
60.0,38.0,22.0,20.83938872,72.14127936,6.0318928,176.49456575,hybridcumbu,13351.83
78.0,52.0,21.0,20.42793859,82.92717912,6.06846563,69.87372989,brinjal,23163.65
74.0,51.0,21.0,21.67381884,65.53230807,5.62728813,101.29924567,longmelon,13433.45
89.0,46.0,28.0,23.39247762,59.85879996,7.81692098,267.6623521,raddish,14464.26
87.0,53.0,27.0,18.64616056,65.05178317,6.36779414,67.19065053,pomegranate,19523.19
66.0,40.0,15.0,21.87562802,83.78303286,7.74340144,290.73611621,ginger,2071.89
91.0,56.0,35.0,22.5422074,57.66840817,6.94857613,101.15742092,cucumber,20260.77
64.0,50.0,27.0,26.30398018,66.43697677,5.33321558,221.59334276,pomegranate,18246.84
92.0,38.0,22.0,24.75571962,59.30875393,5.32274028,253.87024414,tinda,19596.89
80.0,49.0,21.0,18.99605731,66.40906927,6.38423465,69.0426001,watermelon,13554.15
77.0,58.0,19.0,25.90313636,82.74613211,5.66941586,107.16568019,grapes,19967.01
93.0,54.0,23.0,20.40047718,75.52999738,6.78339175,227.95081461,brinjal,22515.01
88.0,45.0,26.0,24.19386523,58.15143765,6.46709632,203.40075437,mothbeans,20952.1
65.0,50.0,40.0,19.82091234,56.40117396,5.15340385,290.05991684,peascod,15881.68
66.0,55.0,18.0,22.34831384,57.09300132,7.77144929,171.10931416,dusterbeans,16718.45
91.0,47.0,38.0,23.08506697,82.26296963,7.65035529,224.7327265,horsegram,19765.46
81.0,40.0,43.0,22.67975732,66.47834817,5.1856836,62.79341379,turdal,13075.66
77.0,48.0,16.0,24.5817954,75.23821381,6.41843853,223.9779436,sweetlime,21605.74
