N,P,K,temperature,humidity,pH,rainfall,state,soil_type,crop,crop_price
82.0,39.0,18.0,26.91888597,65.91095623,6.62201356,107.17213259,Tripura,Forest Soil,tamarindfruit,2122.19
70.0,41.0,19.0,26.57944448,60.27852518,6.89582893,169.14228885,Odisha,Red Soil,betalleaves,1066.0
64.0,37.0,22.0,23.99800136,65.81835251,5.39490711,219.02823619,Gujarat,Saline Soil,zizyphus,1259.56
79.0,37.0,29.0,24.61256908,55.29771778,5.9007117,294.65108607,Chhattisgarh,Desert Soil,nigerseed,2958.51
76.0,49.0,37.0,23.29186239,80.70434849,5.6048031,152.6399368,Telangana,Red Soil,lime,1476.3
88.0,49.0,34.0,26.25147395,74.91831122,7.60319782,132.59713877,Arunachal Pradesh,Saline Soil,castorseed,2867.56
74.0,57.0,38.0,21.12470728,56.68042436,6.29994957,127.42907214,West Bengal,Peaty Soil,barley,1981.24
83.0,46.0,18.0,24.29300173,72.28233493,5.36546138,94.95420501,Bihar,Laterite Soil,potato,1512.67
73.0,42.0,27.0,18.06622506,68.07872169,7.09234057,196.8312833,Punjab,Black Soil,soyabean,2765.1
98.0,55.0,25.0,24.13838576,64.46891036,6.59660489,255.13441014,Bihar,Desert Soil,peppergarbled,1940.38
91.0,56.0,27.0,24.85962353,83.80486343,5.37163833,290.6202216,Andhra Pradesh,Peaty Soil,ragi,1883.54
76.0,52.0,15.0,19.12050286,69.8016689,7.05903978,141.00446222,Arunachal Pradesh,Red Soil,coconutseed,2146.98
92.0,53.0,20.0,26.19243801,76.33352939,6.6588082,148.46296177,Tamil Nadu,Alluvial Soil,greenavare,1634.26
68.0,46.0,19.0,25.55298778,57.41150792,5.17548953,107.5196548,Kerala,Mountain Soil,masurdal,1050.84
70.0,48.0,18.0,25.74062591,81.17555988,5.26516277,117.45187857,Bihar,Mountain Soil,banana,4964.26
96.0,50.0,38.0,22.29527395,69.3524393,7.70117485,102.34969758,Bihar,Red Soil,roundgourd,2295.14
74.0,58.0,35.0,19.23462224,80.40295105,7.72292077,134.3738689,Meghalaya,Black Soil,bajra,1888.51
92.0,59.0,21.0,26.76395595,64.34505386,5.80250181,111.6100998,Punjab,Coastal Soil,guava,2626.57
71.0,36.0,15.0,26.61831997,72.47113942,6.53414098,208.28744717,Rajasthan,Mountain Soil,cowpea,1895.04
100.0,40.0,23.0,18.36521683,73.69403815,7.50669559,102.70962465,Jharkhand,Alluvial Soil,suvarnagadde,2767.92
86.0,37.0,34.0,23.96629614,57.59632906,6.38325008,216.09811753,Jharkhand,Mountain Soil,sweetpumpkin,2233.94
63.0,38.0,17.0,23.35763475,77.64219142,6.77836251,150.69724742,Sikkim,Laterite Soil,groundnut,2416.87
79.0,45.0,33.0,19.67457755,67.62840346,7.43811932,202.99437643,Tamil Nadu,Mountain Soil,suvarnagadde,2737.16
95.0,38.0,29.0,18.98052907,56.82062846,6.51268031,244.65938891,Himachal Pradesh,Coastal Soil,seam,1046.85
92.0,54.0,34.0,19.44708142,68.90176335,5.62141395,253.038706,Uttarakhand,Alluvial Soil,bittergourd,2738.58
73.0,57.0,22.0,26.87893526,75.82360224,5.43053613,60.80463012,Jharkhand,Coastal Soil,lime,1104.68
88.0,48.0,41.0,25.34133351,77.27738997,7.69376581,276.54394982,Chhattisgarh,Forest Soil,lentil,2459.97
95.0,45.0,39.0,26.57592262,77.79982116,7.76958495,136.27068612,Haryana,Desert Soil,ragi,1977.86
63.0,52.0,16.0,19.74149865,67.41075618,7.48281758,114.36350362,Himachal Pradesh,Peaty Soil,tamarindfruit,1762.16
67.0,54.0,17.0,24.11221907,72.74330901,7.34060556,262.47551886,Madhya Pradesh,Laterite Soil,tinda,1020.73
64.0,59.0,44.0,25.90090962,82.87835806,6.84973631,260.1087864,Assam,Black Soil,spinach,2366.39
70.0,52.0,27.0,24.8444262,74.31663016,7.98620348,148.09233895,Sikkim,Desert Soil,corrianderseed,1605.71
64.0,41.0,25.0,21.35015586,79.59156544,5.2673658,86.55471093,Tripura,Coastal Soil,cauliflower,1297.51
71.0,36.0,16.0,23.67739663,64.88721231,5.47995172,188.20837238,Uttarakhand,Desert Soil,pineapple,2082.94
84.0,54.0,22.0,24.98052191,58.513211,7.2019114,86.71305882,Uttar Pradesh,Coastal Soil,ragi,1348.37
82.0,55.0,40.0,20.10314927,67.30903564,6.13129534,133.47160601,Tripura,Forest Soil,horsegram,1561.84
62.0,48.0,19.0,22.22585512,74.84288554,7.89660116,153.36305743,Tamil Nadu,Peaty Soil,turnip,2576.14
70.0,59.0,21.0,21.5311054,69.41927216,5.80879527,291.18066409,Odisha,Desert Soil,sweetpumpkin,2983.68
66.0,45.0,24.0,18.69171346,64.3761141,5.62408743,88.45938661,Meghalaya,Red Soil,lemon,2152.29
85.0,49.0,19.0,23.34621148,63.20007503,5.14285944,111.17696105,Sikkim,Desert Soil,arecanut,1367.77
65.0,58.0,40.0,23.69089198,62.98148955,5.96854643,235.6251613,Bihar,Peaty Soil,amorphophallus,1215.79
63.0,38.0,16.0,25.05456105,67.51833503,7.33155474,149.07549449,Arunachal Pradesh,Red Soil,moongdal,1938.72
65.0,35.0,19.0,25.31462242,71.33558373,5.67762473,178.45855393,Punjab,Coastal Soil,urddal,2487.49
82.0,51.0,26.0,22.21191775,55.11581369,6.42719257,126.42005552,Rajasthan,Black Soil,papaya,2983.2
81.0,60.0,27.0,24.25155234,66.77637345,6.51218117,61.21138988,Bihar,Coastal Soil,watermelon,2870.41
80.0,58.0,16.0,22.64822183,75.59262894,6.52728101,224.25216461,Nagaland,Forest Soil,greengram,1005.83
87.0,47.0,25.0,21.75721778,79.59708925,6.78462303,79.97771262,Tripura,Peaty Soil,fieldpea,1774.33
78.0,36.0,33.0,20.68772799,77.69530922,7.32272059,200.30642534,Tripura,Coastal Soil,bottlegourd,2825.79
73.0,56.0,20.0,22.94153639,60.08487175,7.05753956,68.67926741,Himachal Pradesh,Black Soil,hybridcumbu,1558.16
76.0,46.0,41.0,23.28862062,70.10601169,5.45187393,69.24735611,Sikkim,Alluvial Soil,peas,1303.91
64.0,42.0,45.0,25.05096699,84.66717075,6.1617277,94.46080179,Rajasthan,Saline Soil,mothbeans,2691.18
74.0,45.0,43.0,19.62519548,72.08418126,6.45074487,217.89523118,Uttarakhand,Black Soil,methileaves,1891.38
87.0,46.0,36.0,26.73353541,80.74903203,5.27464991,238.67290053,Maharashtra,Saline Soil,watermelon,1843.58
100.0,50.0,44.0,26.94845848,61.79197327,5.54841999,259.84546934,Gujarat,Laterite Soil,paddy,1699.12
98.0,55.0,18.0,22.73066,64.7714215,6.86199748,65.83773766,Chhattisgarh,Saline Soil,kinnow,2821.07
64.0,49.0,42.0,18.91755551,76.56028524,5.61273523,294.54514134,Jharkhand,Alluvial Soil,rajgir,2213.48
99.0,57.0,44.0,19.51103963,77.81231084,5.1630037,95.38937403,Himachal Pradesh,Mountain Soil,bittergourd,2477.81
63.0,40.0,44.0,18.48847552,75.53920302,7.59175702,91.07832956,Uttar Pradesh,Forest Soil,coconut,2286.83
83.0,41.0,15.0,21.00202493,67.4696143,5.24935148,258.36987952,Tripura,Alluvial Soil,ghee,2554.74
88.0,57.0,36.0,24.35954379,82.36590996,6.20887492,197.34971025,Mizoram,Forest Soil,pigeonpea,2161.88
73.0,56.0,21.0,19.93727601,65.42443217,6.6804882,162.2823249,Tripura,Desert Soil,raddish,2717.85
66.0,52.0,43.0,22.65424303,81.69982804,5.52260176,201.4991767,Telangana,Peaty Soil,greenavare,2256.25
96.0,42.0,37.0,23.10306429,71.73624423,5.07555301,253.11534987,Chhattisgarh,Peaty Soil,whitepumpkin,1564.82
94.0,42.0,26.0,22.53222411,59.05084917,7.35058173,284.17886285,Uttarakhand,Red Soil,cabbage,2721.57
75.0,35.0,29.0,25.95858727,61.00401187,6.59156763,254.88972565,Himachal Pradesh,Mountain Soil,corrianderseed,1057.38
75.0,37.0,29.0,19.84161525,82.78536043,6.88112733,78.87086569,Tamil Nadu,Desert Soil,grapes,7302.02
70.0,54.0,36.0,20.18304503,56.320616,6.21080328,243.38280875,Tamil Nadu,Desert Soil,bajra,1210.42
76.0,48.0,42.0,23.46507966,57.23719278,5.8061976,241.41703349,Meghalaya,Peaty Soil,squash,1791.57
85.0,45.0,31.0,20.18014061,83.37400314,7.42746519,260.77705722,Uttarakhand,Desert Soil,bajra,2735.05
74.0,59.0,24.0,22.51875142,79.3934541,6.03283535,276.86322211,Karnataka,Black Soil,tendercoconut,1786.26
62.0,59.0,32.0,18.8155108,77.55686082,5.00703994,145.18076271,Sikkim,Red Soil,amorphophallus,1535.64
68.0,48.0,33.0,20.20149729,62.67466641,6.44447538,100.61686362,Arunachal Pradesh,Desert Soil,apple,7447.66
63.0,39.0,44.0,23.44169157,58.90420979,7.47626066,189.45724235,Gujarat,Saline Soil,clusterbeans,2253.02
86.0,50.0,38.0,24.79877342,70.37492391,5.3070591,297.07646253,Assam,Laterite Soil,coriander,2430.6
83.0,53.0,16.0,26.5837336,67.48656826,5.7621466,133.83090074,Karnataka,Coastal Soil,clusterbeans,1207.06
79.0,42.0,26.0,18.41460276,81.64614887,7.87882448,183.79942314,Chhattisgarh,Mountain Soil,ghee,1406.03
82.0,37.0,18.0,25.37947604,70.83821352,5.06253215,283.83140228,Nagaland,Coastal Soil,suvarnagadde,1929.92
72.0,54.0,24.0,20.43402536,78.13055245,7.63384364,82.5094,Manipur,Forest Soil,papaya,2082.72
79.0,53.0,43.0,21.0969885,62.53393892,6.78831512,224.7577081,Uttar Pradesh,Mountain Soil,guar,2444.11
83.0,47.0,42.0,22.87193328,80.37313547,5.22986839,233.1848926,Telangana,Black Soil,beans,1148.58
86.0,53.0,34.0,20.52496314,66.84055894,6.07580397,203.55399705,Mizoram,Laterite Soil,chholia,1258.82
70.0,59.0,40.0,24.61685201,69.43048369,5.074389,191.13430521,Bihar,Mountain Soil,plum,2292.4
68.0,54.0,25.0,26.5877152,64.16530009,7.92308718,200.68114496,Jharkhand,Laterite Soil,littlegourd,2965.54
78.0,58.0,25.0,23.99233297,56.80760411,6.71991894,273.93670129,Mizoram,Mountain Soil,barley,1090.02
99.0,54.0,35.0,26.14339451,61.11779359,5.21432266,151.34563713,Arunachal Pradesh,Peaty Soil,mothbeans,1969.43
72.0,47.0,19.0,21.36144722,72.91295259,6.35167665,238.56514574,Uttar Pradesh,Desert Soil,cowpea,2901.0
99.0,50.0,34.0,19.62159814,59.38069312,6.90669014,250.92729484,Gujarat,Black Soil,wheatatta,3471.04
92.0,50.0,40.0,25.41568572,80.6982507,5.12549685,284.53336345,Karnataka,Coastal Soil,longmelon,1725.54
76.0,52.0,35.0,20.18955834,83.89650616,5.89584574,145.55790652,Andhra Pradesh,Desert Soil,moongdal,1308.31
92.0,50.0,15.0,25.5473411,58.8348045,6.08999108,222.27844792,Rajasthan,Saline Soil,cucumber,1197.64
60.0,55.0,39.0,18.846795,59.90132588,5.28509429,125.34694448,Uttarakhand,Mountain Soil,varagu,1759.22
88.0,54.0,25.0,23.12134704,58.28377,7.35505189,292.79570675,Telangana,Forest Soil,cabbage,1380.06
65.0,53.0,31.0,19.03322128,55.77143664,5.4089779,104.65746106,Himachal Pradesh,Alluvial Soil,coffee,19129.55
70.0,42.0,28.0,18.46706526,82.36809428,5.67057546,61.0386837,Tripura,Black Soil,drychillies,1030.73
67.0,36.0,34.0,21.30703352,55.31279355,7.60235963,166.16406899,Gujarat,Coastal Soil,taramira,2207.9
89.0,45.0,35.0,22.53956901,66.81718471,6.97922851,206.6388815,Arunachal Pradesh,Peaty Soil,kinnow,1003.86
60.0,58.0,40.0,22.41137267,57.33042202,7.59438014,149.86108242,Arunachal Pradesh,Forest Soil,linseed,2258.37
93.0,42.0,44.0,25.00565223,70.40963928,5.96877654,103.88109946,Bihar,Saline Soil,greenonion,2040.3
68.0,47.0,39.0,18.0358887,80.62607546,6.7919158,91.95407026,Uttarakhand,Saline Soil,cashewnuts,1657.94
71.0,49.0,21.0,25.88133237,76.35193053,7.78695843,275.02106381,Odisha,Alluvial Soil,garlic,13288.02
68.0,44.0,29.0,20.72400253,83.12107896,5.36906066,118.92805189,Andhra Pradesh,Saline Soil,suratbeans,1372.5
80.0,41.0,18.0,21.97743467,72.68638309,6.16467757,233.48501239,Mizoram,Desert Soil,lentil,2295.82
74.0,56.0,19.0,18.3647838,55.73167862,5.40123861,216.04791552,Karnataka,Peaty Soil,mushrooms,1051.8
78.0,47.0,29.0,22.05105501,62.96319949,7.91995401,213.18221727,Meghalaya,Mountain Soil,leafyvegetable,2010.35
75.0,52.0,42.0,20.47226346,74.05102273,5.16272778,152.0589107,Sikkim,Peaty Soil,leafyvegetable,2826.37
91.0,47.0,16.0,25.7906794,77.10446313,5.34023146,200.2187069,Tamil Nadu,Coastal Soil,horsegram,2564.27
91.0,47.0,34.0,23.03208634,71.81617546,6.97060889,188.299724,Tripura,Red Soil,greengram,2294.96
70.0,39.0,37.0,24.24108328,65.33366343,7.04424,150.55992433,Telangana,Peaty Soil,sweetlime,1029.79
74.0,53.0,21.0,26.7764427,67.03060756,5.95017999,272.70889969,Uttarakhand,Mountain Soil,brokenrice,2316.04
98.0,41.0,16.0,24.93296114,81.17730739,6.08185641,167.75092566,West Bengal,Laterite Soil,amla,1382.4
74.0,45.0,33.0,26.84755467,81.22009399,7.89795946,262.25211508,Telangana,Red Soil,coconut,2757.53
76.0,45.0,29.0,19.05992988,70.42327151,6.35466244,257.18386701,West Bengal,Desert Soil,moathdal,1880.53
82.0,37.0,44.0,24.02749061,78.32517507,5.35603952,150.15362884,Tripura,Saline Soil,guar,1050.84
68.0,49.0,20.0,26.17970106,68.79816029,7.88686788,197.29528773,Telangana,Black Soil,hybridcumbu,2834.57
64.0,55.0,21.0,19.12019789,84.60344691,6.14959842,70.84017262,Manipur,Saline Soil,jowar,1240.26
61.0,41.0,27.0,21.13356666,70.07647781,7.541377,214.4305529,Assam,Red Soil,ashgourd,2647.72
76.0,55.0,39.0,24.75634003,80.41172144,5.97433423,206.11654487,Odisha,Red Soil,sugar,2577.49
96.0,40.0,30.0,26.4639674,71.07051644,5.05480332,240.41803409,Uttar Pradesh,Alluvial Soil,muskmelon,2156.43
92.0,44.0,17.0,24.35739563,67.85669376,6.44512134,208.06443392,Kerala,Red Soil,seemebadnekai,1594.67
96.0,38.0,21.0,26.59621654,65.80357843,6.47246234,134.55368074,Odisha,Black Soil,brinjal,2484.29
75.0,58.0,17.0,19.60906067,76.66156375,6.75639011,227.76579254,Uttar Pradesh,Forest Soil,coriander,1176.45
79.0,35.0,16.0,19.57951551,58.24457912,7.6597867,66.16696759,Meghalaya,Black Soil,wheatatta,2990.25
61.0,52.0,24.0,19.76833703,66.64524162,7.50274834,279.81886792,Rajasthan,Desert Soil,tamarindfruit,1473.81
94.0,47.0,25.0,26.4112722,79.79692546,5.71395423,166.49144289,Uttar Pradesh,Red Soil,ghee,2834.24
64.0,54.0,39.0,21.85934055,74.90342318,5.63574574,75.02905912,Uttar Pradesh,Mountain Soil,rubber,2116.7
76.0,40.0,26.0,23.70933824,83.22767867,6.41180266,88.81466724,Chhattisgarh,Black Soil,seam,1313.76
61.0,54.0,28.0,26.83619574,55.78688494,6.79607608,260.72883736,Kerala,Alluvial Soil,banana,5321.28
78.0,52.0,43.0,22.69701627,61.25910481,5.37768998,298.64525239,Goa,Saline Soil,onion,1824.3
77.0,47.0,42.0,18.83946042,58.90443133,7.95364255,101.44708473,Uttar Pradesh,Black Soil,garlic,14756.84
93.0,53.0,36.0,21.45741117,63.49715627,7.80295078,122.74110823,Tamil Nadu,Red Soil,kinnow,2673.22
93.0,35.0,17.0,26.10016117,76.59900185,5.37382049,289.83391624,Chhattisgarh,Forest Soil,pigeonpea,1107.23
97.0,49.0,35.0,24.36251597,71.80533153,6.60476363,102.65746419,Maharashtra,Mountain Soil,amphophalus,2274.65
72.0,50.0,27.0,24.47343922,69.6597507,7.18999727,215.85064232,Chhattisgarh,Alluvial Soil,jaggery,2854.6
86.0,35.0,32.0,26.51152746,84.14832379,7.85659308,100.71486827,Haryana,Peaty Soil,pear,1487.85
66.0,53.0,41.0,19.81424533,66.67924692,7.73255281,235.07498688,Tamil Nadu,Black Soil,greenbanana,2466.62
76.0,60.0,17.0,25.5123032,63.4191998,5.91319707,91.51206253,Madhya Pradesh,Alluvial Soil,bottlegourd,2971.67
70.0,43.0,37.0,26.93299172,69.45251783,5.8715621,167.15699769,Maharashtra,Forest Soil,roundgourd,2267.18
69.0,60.0,40.0,21.60351893,61.06565624,5.60124125,215.86622267,Chhattisgarh,Saline Soil,pear,2122.3
87.0,38.0,42.0,21.06242866,69.64921401,6.78402794,76.25027004,Andhra Pradesh,Alluvial Soil,kinnow,1925.74
96.0,48.0,28.0,18.13699624,84.00624589,5.22975095,232.62180567,Rajasthan,Mountain Soil,kinnow,1839.74
60.0,36.0,37.0,19.37017789,83.64990813,7.05656471,185.74166233,Uttar Pradesh,Laterite Soil,moathdal,2604.2
82.0,44.0,26.0,25.29149268,64.80618946,6.47265462,113.28589739,Kerala,Laterite Soil,garlic,10209.83
71.0,44.0,45.0,23.73619441,75.65906516,5.93222411,208.91476168,Tamil Nadu,Laterite Soil,urddal,2814.92
88.0,45.0,23.0,21.43173861,77.98879136,5.73551629,134.36118939,Haryana,Desert Soil,suvarnagadde,1096.02
86.0,50.0,38.0,20.78404813,79.47854935,5.4333928,126.37062926,Sikkim,Desert Soil,orange,6633.98
83.0,38.0,41.0,22.02477639,81.9784079,6.21167293,298.79989622,Sikkim,Alluvial Soil,grapes,3106.89
82.0,36.0,39.0,19.90183478,74.86361347,6.14417256,149.85295786,Manipur,Peaty Soil,roundgourd,1309.31
76.0,59.0,39.0,19.54780929,69.86679829,7.30080478,283.05066935,Maharashtra,Coastal Soil,peas,2508.95
87.0,37.0,19.0,24.88781404,77.4074314,7.42466191,291.35852437,Arunachal Pradesh,Laterite Soil,cauliflower,2018.68
98.0,47.0,16.0,24.20079844,59.60085438,6.38241478,212.96315786,Karnataka,Black Soil,frenchbeans,1712.42
75.0,42.0,38.0,26.34378337,63.3931672,5.02960274,163.24363517,Nagaland,Black Soil,leafyvegetable,1926.32
66.0,44.0,27.0,24.138598,55.94815672,6.3672496,65.05086352,Haryana,Red Soil,longmelon,2284.82
89.0,54.0,34.0,18.73928997,56.54772989,7.78345037,101.91795091,Bihar,Saline Soil,coriander,2390.35
90.0,49.0,36.0,26.59563845,82.44115851,6.60984716,226.33000937,Tripura,Mountain Soil,littlegourd,1960.52
63.0,53.0,18.0,25.9807156,83.96739576,6.70820495,114.216736,Uttar Pradesh,Saline Soil,linseed,2918.13
77.0,38.0,25.0,25.05368723,77.36063567,5.00504988,294.6800043,Gujarat,Peaty Soil,chanadal,1888.66
83.0,53.0,20.0,19.76047957,84.69647555,5.30584316,153.44079923,Sikkim,Peaty Soil,greenbanana,2256.12
81.0,44.0,42.0,21.37383992,62.89956334,7.9986142,171.16275839,Tripura,Mountain Soil,turnip,1388.83
89.0,51.0,27.0,23.96800394,80.09285341,7.10080534,128.99778933,Manipur,Saline Soil,paddy,2015.49
62.0,48.0,20.0,26.06796123,64.04109494,5.48899661,213.67017733,Jharkhand,Saline Soil,sweetlime,1591.21
81.0,53.0,17.0,20.24431402,84.46847467,5.8939978,247.22395728,Nagaland,Black Soil,karamani,2507.36
72.0,36.0,39.0,22.1641096,56.99275165,5.58941693,222.91129274,Assam,Red Soil,mint,2068.68
64.0,44.0,31.0,20.34235338,61.03873588,7.69378509,144.52783991,Nagaland,Desert Soil,bottlegourd,2249.86
96.0,40.0,25.0,24.35091774,56.25762686,7.21012796,223.08880481,Bihar,Alluvial Soil,soyabean,1853.9
61.0,46.0,18.0,18.28802355,58.87264505,6.56480098,145.17405552,Andhra Pradesh,Laterite Soil,methileaves,1161.64
75.0,53.0,36.0,22.62997036,61.84266219,7.61275223,142.6801809,Meghalaya,Peaty Soil,chanadal,1804.25
84.0,36.0,17.0,22.29141374,77.38418437,5.70532798,258.81661153,Arunachal Pradesh,Black Soil,lime,1811.85
93.0,37.0,43.0,19.17029404,57.87704257,7.3273774,194.67915824,Telangana,Mountain Soil,cucumber,2116.79
84.0,46.0,38.0,18.00270404,83.27230472,6.61540975,195.45910929,Nagaland,Black Soil,grapes,7213.64
94.0,56.0,19.0,24.43857486,59.48646041,5.36061909,133.59857657,Rajasthan,Coastal Soil,turdal,2713.42
93.0,57.0,18.0,24.30571267,65.76940743,5.02297428,171.36170196,Himachal Pradesh,Red Soil,groundnut,2161.54
99.0,58.0,41.0,20.30057346,69.56209945,6.79604033,86.44321955,Goa,Alluvial Soil,lemon,1896.49
82.0,44.0,43.0,20.03326195,58.71169364,5.27406996,127.32671504,West Bengal,Coastal Soil,ridgegourd,1511.18
82.0,45.0,18.0,26.9136746,81.44877033,5.58236496,257.25531006,Goa,Laterite Soil,greenbanana,2357.39
83.0,60.0,22.0,26.66320047,80.86977624,7.87851013,233.66840087,Goa,Mountain Soil,moathdal,2012.54
61.0,47.0,40.0,18.1159054,65.10303172,7.09594416,290.95869378,Sikkim,Laterite Soil,gingellyoil,1285.59
79.0,49.0,25.0,21.97507269,62.47866303,7.73042299,63.45097706,Tamil Nadu,Black Soil,onion,1264.87
91.0,38.0,24.0,26.69606309,84.79281665,7.21306871,140.97454754,Maharashtra,Mountain Soil,sesamum,2797.39
91.0,49.0,24.0,24.95819101,80.75542618,7.67459335,210.59912872,Manipur,Black Soil,brinjal,1323.88
94.0,41.0,31.0,26.3338164,81.98208048,7.1014743,185.2756107,Meghalaya,Laterite Soil,arecanut,2813.88
91.0,38.0,28.0,22.21588063,78.58480315,5.2672532,166.76929368,Tripura,Desert Soil,garlic,10031.21
89.0,49.0,25.0,21.72397433,59.9466741,6.91766935,105.32954898,Gujarat,Coastal Soil,ragi,2752.1
95.0,50.0,38.0,20.53776305,79.5338649,6.59737098,296.95108072,Goa,Coastal Soil,onion,2459.11
80.0,48.0,30.0,19.10710204,84.89664974,5.7082923,106.2757598,Arunachal Pradesh,Alluvial Soil,tomato,1905.17
66.0,36.0,42.0,19.19377834,77.09812156,5.36932608,214.73091864,Rajasthan,Peaty Soil,groundnut,1177.57
80.0,56.0,37.0,18.45284309,80.05632689,7.49010771,277.85542323,Tripura,Desert Soil,lentil,2095.93
94.0,36.0,16.0,26.37689581,73.13218497,7.38966138,243.40976183,Bihar,Peaty Soil,potato,1088.85
92.0,56.0,31.0,22.36811753,57.20657316,6.78766727,253.26513093,Haryana,Red Soil,rajgir,2298.69
81.0,45.0,29.0,19.64341506,76.51930243,5.21081315,65.44674426,Mizoram,Mountain Soil,parval,1909.02
74.0,47.0,41.0,22.02652393,65.01969671,7.98812669,158.30562313,Arunachal Pradesh,Peaty Soil,amphophalus,1602.7
82.0,47.0,41.0,18.59518206,63.85552663,6.71719866,253.74776219,Tripura,Coastal Soil,sesamum,2357.94
83.0,38.0,28.0,20.54902871,77.583079,5.54763798,138.4768964,Odisha,Peaty Soil,cowpea,2149.77
65.0,46.0,26.0,23.74827654,76.06371478,6.29087293,197.94920686,Rajasthan,Desert Soil,roundgourd,1818.89
95.0,37.0,32.0,19.49073975,77.95944909,6.68374637,184.2528568,Karnataka,Black Soil,guar,1789.76
65.0,44.0,15.0,23.45725892,84.73540552,6.89110421,122.118676,Telangana,Mountain Soil,beans,2832.32
64.0,42.0,29.0,22.34071744,67.81331468,7.71250421,171.6687947,Jharkhand,Forest Soil,moathdal,1654.6
95.0,47.0,39.0,18.21280691,67.81844415,6.55773643,194.92682896,West Bengal,Laterite Soil,coriander,1379.4
90.0,37.0,40.0,19.96629495,62.17747194,6.18617415,102.66340206,Himachal Pradesh,Laterite Soil,brinjal,1293.81
79.0,38.0,17.0,18.0898227,82.78923812,6.89409961,116.39323043,Jharkhand,Coastal Soil,tamarindfruit,2791.57
77.0,53.0,28.0,18.3498483,81.03328165,7.85190206,288.34762507,Uttarakhand,Laterite Soil,littlegourd,2577.41
69.0,47.0,31.0,23.48152308,74.12609611,5.32064172,125.47594446,Mizoram,Forest Soil,soyabean,1584.99
87.0,43.0,42.0,24.99284938,67.97180623,6.13515468,133.03216892,Himachal Pradesh,Mountain Soil,horsegram,2970.37
70.0,50.0,39.0,18.55709278,68.5154719,5.08493442,207.65941798,Punjab,Peaty Soil,ridgegourd,1524.77
83.0,44.0,42.0,22.27431294,79.24847835,7.40335685,119.98584137,Uttar Pradesh,Alluvial Soil,amla,2086.85
76.0,52.0,20.0,24.29525158,68.79659011,6.26513236,296.79112117,Tripura,Coastal Soil,betalleaves,1471.74
78.0,53.0,17.0,20.25894848,76.93803419,6.84025916,113.24980499,Punjab,Alluvial Soil,paddy,1900.41
